# q qerr I(q) I(q)err
4.723447876874170039e-04 2.952154923046356274e-04 5.990000000000000000e+02 7.651957258523448218e+02
1.007928731535807790e-03 1.729332277882325911e-04 1.337500000000000000e+02 1.457393036656144432e+02
1.520442874869074642e-03 2.033775520592752482e-04 1.756250000000000000e+01 1.166677941235217730e+01
2.070719081437823877e-03 1.867369024950752364e-04 9.500000000000000000e+00 1.242664180922138595e+00
2.688905496967343694e-03 2.167810051571560169e-04 1.018750000000000000e+01 1.169798299984208256e+00
3.268561202960406850e-03 1.903282549557577298e-04 9.437500000000000000e+00 1.047027099296596209e+00
3.807445730647664780e-03 1.694643444184810966e-04 1.030555555555555536e+01 1.149674011205870761e+00
4.381374815147482879e-03 1.874338317237396912e-04 1.250000000000000000e+01 1.904081662420877619e+00
4.993692915910495980e-03 1.958260609992589125e-04 1.783928571428571530e+01 2.633059143728672780e+00
5.624879102109691525e-03 2.013430807793769347e-04 2.759375000000000000e+01 5.291299783698458548e+00
6.195664432226083082e-03 1.743637534165568958e-04 4.833333333333333570e+01 1.093558839717070263e+01
6.733346855944249802e-03 1.572278746445916341e-04 2.926250000000000000e+02 3.063104198777347165e+02
7.340498763254484776e-03 2.011625824683105183e-04 1.130479545454545405e+04 4.887648519728305473e+03
7.954800960941697460e-03 1.872601859728339677e-04 2.679628571428571377e+04 6.735061571562466270e+03
8.565011712964351598e-03 1.927563271451691721e-04 3.868029166666666424e+04 4.796273306374819185e+03
9.133268064700878278e-03 1.660141403496703078e-04 4.262321590909091174e+04 2.468533318408160540e+03
9.711747891065009713e-03 1.846859695357896220e-04 3.864031730769230489e+04 1.437583945792671557e+03
1.028912997575583133e-02 1.822516421349891437e-04 3.240404629629629562e+04 1.073287212856744191e+03
1.089020453512385550e-02 1.864855885231143711e-04 2.709663333333333503e+04 8.080743661193721437e+02
1.150616058932975826e-02 1.890394330414321982e-04 2.277416406250000000e+04 6.187669675512904632e+02
1.207374910003082558e-02 1.638475621919366181e-04 1.964212931034482608e+04 5.644351386896439635e+02
1.266722165473862377e-02 1.915131133902700543e-04 1.691461805555555475e+04 4.053789836928293084e+02
1.325589114300172386e-02 1.758706091645209993e-04 1.473135294117647027e+04 3.502114777915882087e+02
1.382495318876545733e-02 1.649279072744909294e-04 1.295457857142857210e+04 3.145566860905278759e+02
1.443567152561621089e-02 1.929305271510301412e-04 1.138550000000000000e+04 2.386376903111886065e+02
1.504729285844033648e-02 1.854699270381204585e-04 1.011083124999999927e+04 2.140369792683051742e+02
1.564224565441773435e-02 1.850208791920727558e-04 8.990511904761904589e+03 1.654108900641195419e+02
1.621489145230145187e-02 1.709260856163880124e-04 8.075176829268292749e+03 1.356383044595453384e+02
1.679335056513650559e-02 1.742087591701740683e-04 7.276392045454545041e+03 1.164827976096793094e+02
1.738785796914408752e-02 1.852104971181774303e-04 6.555743455497382456e+03 1.043174444737360602e+02
1.797160203002971454e-02 1.674476284083492670e-04 5.964812121212121383e+03 1.110481011727295737e+02
1.856636645645342101e-02 1.841715454010582826e-04 5.449345945945946369e+03 8.869848191331578846e+01
1.915937978220854168e-02 1.719315023146084781e-04 4.972959064327485066e+03 8.950133747108583293e+01
1.975867440549038817e-02 1.847745454080904255e-04 4.561087431693988947e+03 7.371283815443904075e+01
2.037686900136525744e-02 1.944860578066570113e-04 4.189764102564102359e+03 6.607869009148456030e+01
2.096332146698252907e-02 1.599756525818119923e-04 3.872037267080745551e+03 6.808912575125405908e+01
2.155095005054361371e-02 1.922590630269470141e-04 3.586208955223880821e+03 5.321076944212018844e+01
2.215451494183587333e-02 1.745899694979527353e-04 3.322451977401130080e+03 5.433528294822335880e+01
2.274339210304443873e-02 1.877334290375397481e-04 3.075292307692307531e+03 4.633995664013998805e+01
2.333683247723578047e-02 1.800271007701332074e-04 2.871910052910052855e+03 4.490571309462623617e+01
2.391361112713487336e-02 1.716743369393363458e-04 2.672978142076502536e+03 4.098612021578996689e+01
2.449413444693148562e-02 1.846451220122983952e-04 2.501990049751243987e+03 3.641622510689710168e+01
2.509907853135927638e-02 1.860037613335252906e-04 2.346660098522167573e+03 3.321478878052923989e+01
2.570004976117280099e-02 1.846756329886891366e-04 2.182019512195121933e+03 3.064012260318379433e+01
2.629153521809441535e-02 1.783210487610844197e-04 2.047197044334975317e+03 2.946801340974200301e+01
2.686629037058540018e-02 1.695033214240752016e-04 1.931558974358974410e+03 2.824655138695729661e+01
2.746341065734101208e-02 1.931829855059287568e-04 1.816184210526315837e+03 2.350428330291910584e+01
2.804901235877265558e-02 1.747712586151708883e-04 1.711059633027522977e+03 2.115047191227162315e+01
2.861613358874535301e-02 1.779873388900727173e-04 1.617441666666666606e+03 1.766287302577617879e+01
2.922375482062347998e-02 1.908049198746029061e-04 1.522088888888888960e+03 1.828440280505219562e+01
2.983384077963794137e-02 1.839297598611606944e-04 1.441354961832061008e+03 1.446985929026600459e+01
3.042759654101939368e-02 1.868505979883052913e-04 1.359539568345323687e+03 1.297625578395239998e+01
3.101523793815765331e-02 1.730931988267366548e-04 1.283766917293233064e+03 1.285620638017634221e+01
3.158047811232402718e-02 1.721030698793255269e-04 1.221873188405797009e+03 1.229645338139853905e+01
3.216042602862667632e-02 1.767656788470841830e-04 1.155841379310344792e+03 1.206224063323255713e+01
3.275882741411040300e-02 1.871875214754685555e-04 1.096506410256410163e+03 1.025899023742532279e+01
3.336920590065355074e-02 1.870175872864089184e-04 1.040096874999999955e+03 9.806429769995679280e+00
3.396507400328992177e-02 1.758504891408076566e-04 9.887450980392156907e+02 9.320525948661096294e+00
3.452787513958036764e-02 1.700864950119784671e-04 9.397631578947368780e+02 9.451046603031235449e+00
3.512477412482398892e-02 1.894155881997736253e-04 8.917228571428571513e+02 9.316038026851895637e+00
3.572306524701859137e-02 1.764072588937755923e-04 8.549386503067485137e+02 7.860248564000958282e+00
3.630783730139242743e-02 1.802793535887441806e-04 8.115953757225433947e+02 7.320004447152665072e+00
3.690128527536095521e-02 1.787678965007289636e-04 7.724884393063583730e+02 6.227445099086017066e+00
3.748963960517077282e-02 1.828968520269478204e-04 7.365361111111111541e+02 5.724622987653558148e+00
3.809019368549258072e-02 1.837202064090743311e-04 7.016810810810810608e+02 6.407145717666682394e+00
3.867600895081684670e-02 1.734722342126279249e-04 6.744329608938547835e+02 5.484107784930026597e+00
3.924992235823326209e-02 1.718783784329285858e-04 6.442978142076502763e+02 4.912826679931634466e+00
3.986956247440961304e-02 1.957057320704437726e-04 6.143333333333333712e+02 4.370908090751360220e+00
4.047543016846741337e-02 1.738250693639158259e-04 5.893413978494623962e+02 4.720303108488761445e+00
4.105316412749138860e-02 1.786146258692467362e-04 5.646045918367346985e+02 4.628442181544686562e+00
4.164164749359811069e-02 1.819102932200940639e-04 5.383872549019607732e+02 4.043487431988291192e+00
4.222742149606601575e-02 1.740899868527306569e-04 5.189593908629441330e+02 4.312295259334324449e+00
4.282451794790709948e-02 1.892304562613047819e-04 4.965022727272727252e+02 3.699166725911288811e+00
4.342122218753129842e-02 1.757284249341327983e-04 4.784341463414634177e+02 3.805213868921327958e+00
4.401425995806975550e-02 1.831201305272032716e-04 4.591090909090909236e+02 3.431738218305894428e+00
4.460525357546351460e-02 1.773352571566776071e-04 4.420070093457944154e+02 3.527129900968224430e+00
4.518576784900755344e-02 1.762225355409797209e-04 4.236087962962963047e+02 3.189697777537420897e+00
4.577804575351596822e-02 1.825610148556748797e-04 4.089545454545454390e+02 2.834302273267514050e+00
4.635895832895845642e-02 1.665441241073297427e-04 3.943122065727699805e+02 2.749450654023233742e+00
4.693813281145101796e-02 1.801734543906959658e-04 3.812618025751073105e+02 2.528168799126872646e+00
4.754421917992627394e-02 1.891504781242210587e-04 3.687439024390243958e+02 2.486529591048642462e+00
4.814308329154380617e-02 1.767782991122760384e-04 3.558500000000000227e+02 2.950901298579422072e+00
4.873462914294419968e-02 1.845684241343019784e-04 3.436279999999999859e+02 2.267228960843784336e+00
4.931968173500063390e-02 1.662429748354173975e-04 3.312466960352422802e+02 2.537626463565843427e+00
4.990182761457980648e-02 1.838181074509694080e-04 3.204431372549019557e+02 2.290834154688142998e+00
5.050600639545359261e-02 1.829340792033495747e-04 3.089313725490196134e+02 2.158246154321351362e+00
5.109686970270507778e-02 1.749283032409129873e-04 3.011829268292682968e+02 2.281275372132575363e+00
5.167792338143518266e-02 1.787889473189441648e-04 2.909163424124513426e+02 2.005726921605246016e+00
5.226270152389441564e-02 1.740705261370537299e-04 2.815916334661354767e+02 2.087814325712724184e+00
5.285841432786456823e-02 1.872217425933581721e-04 2.746371841155234392e+02 1.875083643768658215e+00
5.345513799170369118e-02 1.725115332391315636e-04 2.654922178988326777e+02 1.850606704428344518e+00
5.403969158627625058e-02 1.787572567663781617e-04 2.586259259259259125e+02 1.783736798286909009e+00
5.463215436641460226e-02 1.806751897026667567e-04 2.494581818181818278e+02 1.846193383293925239e+00
5.522359591022554803e-02 1.776774361336693538e-04 2.438819188191882006e+02 1.668185638790328218e+00
5.581556351290419687e-02 1.831079615953120374e-04 2.349808362369338113e+02 1.550474488157004727e+00
5.640691318613771932e-02 1.714645421154935788e-04 2.303492647058823479e+02 1.558638061775243555e+00
5.698670247976710124e-02 1.772624113516257200e-04 2.238233215547703310e+02 1.559939715047509168e+00
5.758036180335963927e-02 1.827609040513424325e-04 2.177050847457627185e+02 1.512258545030580770e+00
5.819044690623875749e-02 1.848174905113921808e-04 2.132458471760797352e+02 1.482759843213377504e+00
5.878162546940275679e-02 1.754457973206488065e-04 2.072491349480968950e+02 1.491477947503575763e+00
5.936672979308988546e-02 1.753288618183146961e-04 2.017823129251700607e+02 1.395635562557682618e+00
5.995602681397151773e-02 1.800709995487768662e-04 1.973190789473684106e+02 1.493876846352752530e+00
6.054125870297889789e-02 1.739206587006266651e-04 1.925336700336700346e+02 1.358591753314339012e+00
6.113435592073809127e-02 1.809573243724565028e-04 1.879440894568690226e+02 1.367436912410647576e+00
6.172290137008745736e-02 1.766190615271011333e-04 1.832875816993464184e+02 1.298382217149661955e+00
6.231831955862983385e-02 1.823224708623977447e-04 1.788025078369905998e+02 1.210895732226806798e+00
6.291201853667892363e-02 1.804878643738372986e-04 1.742232704402515822e+02 1.154305507411454546e+00
6.349978231223882275e-02 1.747609195885871771e-04 1.710174603174603192e+02 1.186834845271775407e+00
6.409483025553093516e-02 1.803305294377497477e-04 1.670500000000000114e+02 1.120171456720325809e+00
6.468133308268907145e-02 1.742737918599860736e-04 1.637176656151419536e+02 1.162089604927593278e+00
6.527515629947883147e-02 1.840911879681655515e-04 1.600264705882352985e+02 1.146950909956008013e+00
6.586945725968031129e-02 1.766094127184891750e-04 1.574209726443768886e+02 1.124054171003985747e+00
6.644902079644554593e-02 1.713345783436561517e-04 1.538292307692307759e+02 1.097662018688216445e+00
6.704085652197885881e-02 1.821977768331290099e-04 1.495042979942693364e+02 1.083385888084700932e+00
6.763462471325527858e-02 1.768381024666063701e-04 1.467595870206489792e+02 1.064562349485185466e+00
6.822709359915622718e-02 1.779461873202900371e-04 1.456786743515850162e+02 1.047840809195753620e+00
6.881740672105723933e-02 1.776219688260174164e-04 1.418782234957020023e+02 1.073968268768406897e+00
6.939317114068753456e-02 1.675125730914303005e-04 1.388655589123867173e+02 9.777750508038922650e-01
6.998942133197813553e-02 1.892040435285330727e-04 1.365052356020942455e+02 9.152773618356881968e-01
7.058730336132017225e-02 1.696990038158739298e-04 1.341275659824046897e+02 9.595717779788796031e-01
7.117378875596946930e-02 1.802703045807491653e-04 1.311770270270270373e+02 9.232088722193492192e-01
7.176516943346115951e-02 1.750069451155403385e-04 1.286187150837988895e+02 9.873977412941595810e-01
7.235445384524710755e-02 1.800066881609394172e-04 1.270216802168021673e+02 9.253473206109006366e-01
7.295384805896727720e-02 1.840125893580800247e-04 1.246731770833333286e+02 9.077214631632005704e-01
7.354424172391722803e-02 1.690936195811098490e-04 1.220307262569832432e+02 9.563458794561268128e-01
7.412566274007968692e-02 1.766783198944770015e-04 1.206055408970976259e+02 8.689116318561528329e-01
7.471786287549198047e-02 1.782607442903648182e-04 1.188149606299212593e+02 8.740779822540070132e-01
7.530717951741959515e-02 1.771978172148939859e-04 1.163205804749340331e+02 8.261204405671550566e-01
7.589678862773306667e-02 1.802248733925901174e-04 1.142653061224489761e+02 8.271751194847054567e-01
7.648663648858919362e-02 1.734628209463887094e-04 1.126131578947368439e+02 8.363569238969743580e-01
7.708878737444167795e-02 1.871519850056881638e-04 1.116555023923445020e+02 7.798733338225724010e-01
7.769132498631153849e-02 1.735347563880586686e-04 1.100310077519379774e+02 8.688086432508632662e-01
7.827639202352040804e-02 1.762363784104307009e-04 1.077067669172932369e+02 7.989316059094143663e-01
7.885605126453507085e-02 1.705746196345893492e-04 1.065449871465295644e+02 7.775069325241192875e-01
7.943426346176042652e-02 1.747801600018900775e-04 1.052292191435768274e+02 8.046160855355368735e-01
8.003359470206719561e-02 1.876180394648696505e-04 1.035023094688221761e+02 7.435773409218529029e-01
