# q qerr q^2*I(q) q^2*I(q)err
1.767384637129312732e-03 3.376505603741484726e-05 6.192633063149112580e-04 9.925779251524789970e+01
1.838746188668813472e-03 1.764071051705388767e-05 6.390066462590326306e-04 3.297726489568230335e+01
1.902660099107531021e-03 2.153523097573967015e-05 6.878219360198171289e-04 3.190872398994774528e+01
1.972549355446620144e-03 1.886941508857873845e-05 1.133563712918031225e-03 2.335246834443369437e+02
2.037279618247792717e-03 1.928024808010043312e-05 1.299939181685009658e-03 2.602783510013846353e+02
2.104258610993745091e-03 1.957094880478327308e-05 1.268041094468447087e-03 2.459110611582976560e+02
2.172815204178005048e-03 2.073251161571792100e-05 1.220096306397153033e-03 2.033394370668579541e+02
2.241863095562771427e-03 1.889075600354606118e-05 1.394544102698994656e-03 2.471774057673455616e+02
2.309446103691820910e-03 1.871013499868818793e-05 1.364602229989792317e-03 2.075369646484734858e+02
2.374937715328527023e-03 1.898498351576869759e-05 1.344423071643824526e-03 2.099169147808511582e+02
2.441881200541938871e-03 1.869312613600663031e-05 1.513238180819835750e-03 2.295044930150579319e+02
2.509059524542034056e-03 2.056643265578011874e-05 1.433547891160855256e-03 1.880594627133528434e+02
2.579090047467294013e-03 1.910915898368251788e-05 1.592551324332455633e-03 2.212955309083307043e+02
2.648561480165854357e-03 1.867979792876847781e-05 1.525735946342489250e-03 1.880177153630013152e+02
2.712218516863891277e-03 1.768427672076854483e-05 1.828332496392886001e-03 1.901041091456197023e+02
2.779069613344641466e-03 1.944984242402913820e-05 1.851271280943643169e-03 1.813194709308054371e+02
2.845704934594667831e-03 1.827607588131101302e-05 1.880917129307221143e-03 1.626794547477514641e+02
2.913547512545631643e-03 1.968093457967490153e-05 1.927779384809655185e-03 1.636932515722587311e+02
2.981988668222396773e-03 1.912504289359193829e-05 2.002088507802124526e-03 1.695003031551250956e+02
3.049660686272485065e-03 1.878485121928453414e-05 2.166453176089883602e-03 2.491336021312271498e+02
3.117244749854652247e-03 1.980606413627597807e-05 2.708631507346979939e-03 5.749477259722441431e+02
3.184316634002329772e-03 1.822488416883109681e-05 3.103278132695768549e-03 7.065342990324974153e+02
3.251246342455580991e-03 1.943915907382495867e-05 2.793748134560780031e-03 5.530797348868401286e+02
3.317935910195575315e-03 1.951960823457939538e-05 2.571444191153995397e-03 5.001566905263566127e+02
3.385913204732035088e-03 1.968427726093777033e-05 2.696614725013652802e-03 5.299321936815780418e+02
3.454016240390301272e-03 1.991700326188396351e-05 2.460054369354626458e-03 4.005785515148482432e+02
3.521176218321103810e-03 1.896194850906354884e-05 2.682047925052529706e-03 4.686239556477497672e+02
3.588414008378548996e-03 1.983384305893224348e-05 2.520157097267506415e-03 3.751898007527966001e+02
3.655972620980264993e-03 1.927944227389737206e-05 2.575758878573136158e-03 3.560254705074528943e+02
3.723429133091729799e-03 1.943566101146064471e-05 2.582197038420790038e-03 3.714342890472076988e+02
3.791148521107395777e-03 1.984386391184852534e-05 2.483872455952347742e-03 3.120705052017244157e+02
3.859077073209023299e-03 1.947389635355247281e-05 2.387703884840395099e-03 2.783948897120225752e+02
3.926515872327444867e-03 1.977472126306292047e-05 2.253434734002061294e-03 2.232444986684569699e+02
3.994028494171458256e-03 1.923898167276709035e-05 2.275992121875281254e-03 2.141890219029284594e+02
4.060915031263914211e-03 1.938068482835882372e-05 2.370643757612302290e-03 2.601507722375114326e+02
4.128463354686938425e-03 1.967553182658051991e-05 2.299576941529270571e-03 2.114664940184619013e+02
4.196765274832188995e-03 1.988352320671583939e-05 2.074290849685598258e-03 1.666378772702475430e+02
4.264616267912093271e-03 1.974109125666877933e-05 2.240382850794813904e-03 1.840389413238935958e+02
4.331759204047017260e-03 1.924648958001150883e-05 2.259852190887033738e-03 1.774436449933670872e+02
4.399008331036513564e-03 1.974358067416735353e-05 2.193829777904582768e-03 1.718779532132524821e+02
4.466431728420248472e-03 1.931046450252959316e-05 2.181133711446527155e-03 1.567150084449994267e+02
4.533992195028190356e-03 1.980939754821578548e-05 2.120281228598517188e-03 1.433097980625979915e+02
